#{"t_start": 1743700485.841088, "env_id": "None"}
r,l,t
-2.75,107,4.595541
-3.07,5,4.635607
-2.51,115,5.46355
-3.03,5,5.499582
-2.87,65,5.967879
-3.19,11,6.043504
-3.05,47,6.359722
-2.2,225,8.091837
-1.34,329,10.809262
-2.4,148,12.05729
-3.03,5,12.092371
-2.29,158,13.29285
-2.35,146,14.483799
-3.14,37,14.768814
-2.2,168,16.017793
-2.79,99,16.760883
-2.94,31,17.011601
-2.53,121,17.947571
-3.06,83,18.776559
-2.99,2,18.806614
-2.36,212,113.239787
-3.21,7,113.48578
-2.75,58,115.037135
-2.39,176,119.717769
-3.1,10,119.991768
-3.29,10,120.251762
-2.59,106,122.744596
-2.99,2,122.801598
-0.18,520,146.615516
-3.13,4,146.709516
-1.96,262,151.212154
-1.48,331,156.413878
-2.72,94,158.035507
-2.37,131,161.351241
-2.59,101,163.547441
-2.9,66,165.025373
-2.87,46,165.680779
-3.08,14,165.901775
-2.2,228,269.819943
-1.15,391,276.816212
-2.92,46,277.594508
-2.43,160,280.42264
-2.84,52,281.23966
-2.94,32,281.845083
-2.99,2,281.879083
-3.1,18,282.279323
-1.19,290,306.649744
-0.41,452,314.048551
-2.88,44,314.929528
-2.99,2,314.963528
4.38,1165,436.017172
-3.03,33,436.495165
-2.58,73,437.551504
-1.69,289,442.01285
-3.18,13,442.198858
-2.8,48,442.913126
-1.94,168,468.221942
-2.57,95,469.871661
-2.54,59,470.966287
-2.0,164,473.286448
-1.47,292,478.188999
-2.89,22,578.730227
-2.35,177,581.643937
1.19,716,594.830555
0.46,634,605.783436
-0.58,479,652.796674
2.95,876,768.672143
-2.44,140,771.750672
-2.42,124,774.113252
-2.8,89,775.72291
0.01,552,785.122859
-2.93,52,786.118838
4.37,1153,948.797494
-3.0,30,949.481753
2.24,1011,966.347532
-3.09,20,966.682577
-0.4,503,1073.560619
-2.93,114,1075.636112
-2.73,43,1076.264097
-2.78,63,1077.165803
-3.12,6,1077.271799
-2.26,183,1103.139794
0.09,425,1110.707234
-1.2,388,1117.385366
0.91,699,1226.261584
-0.58,429,1233.375223
-0.3,460,1258.834319
3.46,995,1374.999719
2.29,1009,1391.832853
1.14,783,1440.088493
-0.73,472,1543.494571
2.74,1055,1563.15483
-2.53,114,1565.028424
1.31,696,1715.76781
3.05,1087,1736.560442
0.69,711,1749.322124
-2.77,73,1750.620155
1.97,850,1903.11116
-1.53,313,1909.200268
-0.96,347,1916.249609
-0.51,503,1926.792686
-3.15,19,1927.200317
-2.91,38,2027.175262
-0.82,446,2036.270776
-2.2,223,2040.577783
2.19,888,2084.2201
-1.31,330,2090.943405
-2.99,32,2091.591642
-0.08,558,2214.293463
-2.93,14,2214.620836
1.66,805,2230.765098
-3.02,7,2230.894111
-0.32,552,2284.395469
-0.77,453,2390.878764
1.34,849,2408.530118
1.95,1027,2566.167675
-0.97,381,2576.03584
-1.83,298,2582.614704
-2.9,28,2583.168098
3.2,997,2604.885727
-0.71,438,2715.915295
2.24,1015,2788.274324
-2.76,87,2789.3693
2.23,907,2900.914286
1.21,725,2972.110363
-1.45,340,2978.307642
1.27,771,2989.463984
-1.3,350,3097.79258
0.28,748,3113.484405
1.8,745,3161.495866
-0.81,450,3277.9195
3.34,1025,3300.628395
-0.7,500,3341.016825
0.23,576,3459.436223
2.78,1024,3478.400936
2.6,1037,3679.481828
0.47,675,3697.247923
-1.43,342,3705.694726
2.75,1037,3863.56316
-1.84,223,3902.232061
2.12,1008,3919.922332
1.73,824,4105.317364
-2.97,44,4106.333171
3.05,1026,4187.941874
-3.03,43,4188.462921
2.75,1031,4333.283022
2.93,1040,4413.675105
-0.16,551,4427.097818
-0.02,573,4549.87823
2.62,1026,4572.302466
-3.01,37,4573.135761
1.74,978,4817.33944
0.86,662,4844.861978
-1.89,246,4856.743508
2.66,1017,5167.476848
-2.09,187,5172.900906
-1.91,207,5178.940528
-1.39,324,5188.110755
-0.59,604,5206.306206
-0.87,439,5332.481316
2.87,1024,5385.01132
0.92,819,5399.013608
0.75,834,5524.342955
-2.22,172,5527.777769
1.09,819,5605.240871
1.97,1008,5735.21241
-0.89,375,5742.093354
2.85,1021,5807.161453
-3.13,4,5807.23997
0.4,638,5937.074696
-1.1,399,5944.923865
-2.68,61,5946.062369
-1.23,372,5953.140485
1.93,790,6116.063167
-2.6,58,6117.508452
-2.64,129,6120.155746
-1.36,313,6127.077594
-2.95,48,6128.359303
-2.87,75,6129.929916
-2.24,182,6133.369767
-1.69,275,6139.339103
2.14,923,6261.995466
2.35,887,6304.572432
2.69,1035,6320.233411
3.32,982,6471.122947
-0.89,420,6478.071794
0.48,642,6488.285249
-2.03,199,6595.724828
0.13,652,6605.57246
0.39,579,6653.696536
-0.27,461,6661.908408
2.66,1017,6787.206024
2.12,1008,6832.268319
2.26,887,6957.840349
-0.65,423,6964.810331
-2.95,18,6965.09741
0.78,700,6976.604175
-2.59,139,6980.38273
