#{"t_start": 1743700485.8499768, "env_id": "None"}
r,l,t
-3.03,5,3.865629
-2.63,177,5.1369
-3.03,5,5.177902
-3.2,17,5.293898
-3.07,43,5.590691
-2.41,213,7.166121
-1.31,335,9.775177
-2.76,57,10.23793
-2.1,177,11.810244
-3.03,5,11.850307
-3.21,7,11.913635
-2.24,122,12.83997
-3.12,6,12.892968
-2.9,115,13.78806
-3.19,11,13.869059
-2.03,174,15.258788
-3.13,4,15.289789
-0.22,561,20.044927
-2.82,63,112.523906
-2.51,106,115.479712
-3.03,14,115.891869
-2.6,137,119.540886
-2.91,38,120.543868
-2.99,2,120.594868
-2.07,213,139.43268
-3.39,9,139.585319
-2.68,61,140.721873
-3.13,4,140.799858
-2.58,122,142.93729
-3.06,7,143.095302
-2.91,15,143.352297
-2.99,2,143.385301
-1.45,315,149.123259
-1.92,224,152.526244
-3.11,8,152.643242
-3.14,29,153.051235
-2.99,2,153.080231
-3.04,30,153.632124
-2.99,21,153.971115
-1.99,191,157.084979
-2.59,101,159.387584
-2.75,80,161.28735
-3.25,18,161.653345
-0.67,520,271.397489
-2.88,62,272.745657
-3.08,14,272.951654
-3.02,23,273.325647
-3.04,22,273.707637
-3.06,46,274.451627
-3.25,18,274.776649
-3.07,16,275.068629
-1.4,317,280.451754
-2.99,2,280.486749
-2.03,166,302.775142
-3.07,35,303.466163
-2.58,103,305.270756
-3.0,30,305.781747
-2.18,172,308.714772
-2.92,93,310.182871
-2.33,161,312.573449
-2.87,46,313.290298
-2.99,2,313.325295
-2.98,4,313.384295
-3.1,29,314.011458
3.08,993,432.504776
-3.03,14,432.773773
-2.09,179,435.634292
-0.81,353,440.980601
-2.99,2,441.017599
-2.52,115,442.737239
-2.71,66,444.056769
-2.7,106,468.092051
-0.71,482,476.047306
-2.79,31,476.571815
-1.46,294,581.460053
-2.99,32,582.125516
-2.97,6,582.250509
-1.9,244,587.068673
-1.3,304,592.344135
-2.98,23,592.766196
1.37,799,606.495527
-2.89,49,607.237511
-2.95,29,607.663067
1.77,802,759.183399
-3.06,7,759.343393
-3.03,5,759.43975
-3.1,10,759.676112
-2.2,168,762.968161
3.61,1058,783.475865
-2.4,128,785.932949
-2.77,103,787.697534
-0.53,507,937.883193
-3.04,49,938.727171
0.82,709,952.835827
1.27,705,964.406867
0.58,606,1072.80675
-0.2,588,1105.494703
-2.56,116,1107.577417
-1.91,220,1111.664318
-2.69,73,1113.036264
-2.98,4,1113.108261
-2.87,53,1114.020235
-2.11,134,1115.959311
-3.02,15,1116.175311
1.94,765,1226.271701
-3.1,10,1226.424691
2.69,1020,1261.466339
-1.45,356,1267.326612
-2.98,4,1267.409026
-1.6,277,1272.003762
-1.3,365,1377.379153
-2.88,35,1378.036272
-2.38,154,1380.953718
-3.08,14,1381.156719
-1.64,277,1385.630196
-2.63,83,1387.092877
1.87,715,1399.028564
-2.81,59,1435.320445
-2.51,145,1437.710242
0.48,476,1540.11318
-2.96,19,1540.513752
-2.89,22,1540.986745
1.82,724,1555.270953
-2.59,112,1557.276317
-2.68,112,1559.429054
-2.98,24,1559.848046
-0.97,350,1565.675431
-2.21,177,1568.232913
-3.05,20,1568.532895
1.66,804,1722.175983
-0.94,409,1730.36712
-0.3,563,1740.44745
-1.2,313,1746.193406
-0.64,414,1861.200445
1.35,906,1907.53651
1.43,852,1925.128719
-2.86,66,1926.399957
2.05,934,2044.195542
-1.69,275,2076.015163
-2.9,39,2076.751139
-2.24,135,2079.411017
2.3,852,2206.721389
-2.32,141,2210.007158
0.45,710,2225.272765
0.42,603,2281.489036
-2.27,184,2283.77964
-0.53,488,2390.417816
-0.68,433,2399.641798
-1.16,383,2407.378402
-2.62,103,2409.484782
3.05,1041,2567.887013
-2.73,51,2569.216513
-2.85,77,2571.25687
-2.64,132,2574.641489
0.32,633,2588.407951
2.0,1012,2610.312691
-0.39,531,2774.931688
1.05,727,2789.129415
-2.79,42,2789.596407
2.39,1016,2904.67329
0.09,467,2969.915426
-1.63,292,2975.23483
-0.65,491,2984.13477
-0.35,526,2990.330164
-2.36,126,3094.543922
1.23,839,3112.186851
-1.94,212,3149.979966
-2.06,163,3153.207467
-1.13,376,3160.370398
2.21,1017,3289.134137
-0.63,405,3298.599675
-0.32,586,3340.514117
3.68,1055,3467.361429
-0.7,529,3477.646697
2.27,1018,3678.006712
-0.16,546,3692.803192
2.24,1010,3717.469802
-2.88,63,3718.862204
3.15,1031,3907.955457
2.07,1013,3925.419271
-1.66,303,4095.551841
-0.03,500,4115.840119
2.95,1032,4191.216171
2.15,1021,4338.620406
2.45,973,4416.860938
3.05,1031,4550.8999
-1.87,285,4557.111857
-0.1,448,4566.950015
-3.12,6,4567.106436
-0.9,395,4575.885111
-3.16,25,4576.460191
1.24,781,4814.891101
2.6,1021,4859.123383
-1.74,259,4869.603763
2.22,1013,5176.671435
3.09,1047,5207.474068
0.56,651,5337.597749
3.34,1035,5389.204663
-1.96,224,5393.289245
1.82,820,5517.463968
-1.61,377,5524.898495
-3.13,23,5525.361328
-3.1,38,5526.125144
