#{"t_start": 1743700485.8400896, "env_id": "None"}
r,l,t
-1.61,286,5.894464
-2.47,125,6.789714
-3.02,72,7.336266
-2.31,116,8.258188
-1.71,313,10.841304
-3.21,7,10.913806
-2.4,136,12.037138
-3.16,7,12.09337
-2.67,112,12.943901
-2.99,2,12.964853
-2.12,184,14.437798
-2.43,134,15.456728
-2.99,2,15.474726
-2.37,164,16.684926
-3.11,8,16.745896
-2.99,2,16.761881
-2.0,239,18.826553
-3.03,14,19.015548
-2.98,4,19.052551
-3.13,4,19.100549
-3.13,4,19.140031
-3.02,23,19.352202
-0.63,429,120.432757
-3.12,14,120.746751
-1.92,240,140.083766
-2.25,177,143.23718
-0.76,439,150.871115
-1.89,238,154.70199
-2.8,97,156.17188
-3.12,6,156.274878
-1.95,218,161.060242
-2.96,46,161.994223
-3.03,5,162.137224
0.59,651,274.218517
-2.91,86,275.661999
-0.22,492,303.666935
-3.07,5,303.777327
-2.7,106,305.58564
-2.2,168,308.353087
-1.97,203,311.481371
-1.8,185,314.782534
-3.04,22,315.138397
-2.95,29,315.615343
-3.18,13,315.829334
-2.62,133,317.942361
-3.28,12,318.124356
1.29,649,430.988248
-2.51,96,432.454666
-2.2,209,435.828176
-0.35,524,444.091652
-1.81,245,470.596025
-2.7,118,472.341256
-1.79,239,476.296191
-2.52,105,477.969014
-1.3,304,583.390015
-1.43,308,589.390362
-0.73,427,596.600534
-0.94,354,602.849349
0.76,622,652.295549
1.02,669,763.007047
1.33,743,778.190463
-2.99,2,778.233466
0.12,607,789.111963
-3.03,13,789.522715
-2.98,4,789.65371
-0.68,436,938.097072
-3.06,26,938.527064
4.66,1243,961.707716
-0.44,484,1066.893244
2.52,762,1103.165792
-2.88,54,1104.163642
-1.95,182,1107.368309
-1.97,244,1111.927207
-1.79,240,1115.803215
2.12,1009,1229.83421
-2.04,200,1233.223223
-1.56,312,1238.446654
-2.32,163,1258.921301
-2.66,115,1260.984235
-3.24,9,1261.170243
0.91,724,1273.214118
-2.5,116,1374.577899
-2.08,192,1377.704038
-2.94,31,1378.440104
-2.74,69,1379.670419
1.23,790,1392.757833
-1.56,247,1397.012893
-1.45,318,1437.556132
-2.14,128,1439.456177
-0.97,401,1541.012634
-2.97,26,1541.50162
-2.99,13,1541.789615
-2.61,116,1544.437556
-3.1,10,1544.620546
-2.83,23,1545.119398
-0.87,434,1553.217986
-0.51,418,1560.997677
-2.22,156,1563.606823
-2.5,78,1564.838451
-2.82,25,1565.323156
2.48,1029,1722.326863
2.47,1046,1741.918331
2.82,1008,1897.176274
-2.49,122,1899.345301
-2.25,128,1901.637641
-2.66,68,1903.086158
-2.98,4,1903.176489
-2.88,70,1904.658366
-2.87,7,1904.788362
1.25,746,1919.675889
2.57,1023,2039.71812
-1.84,266,2071.250454
0.38,619,2083.372954
-2.72,56,2084.488735
-1.61,332,2091.228337
-0.19,583,2214.487839
-1.43,406,2222.865741
-1.18,317,2229.130638
-0.24,569,2283.560956
-2.97,6,2283.618488
-1.97,251,2286.345437
3.17,1069,2407.424996
-1.76,261,2412.866473
-1.25,322,2419.272475
1.29,867,2575.768844
-2.94,61,2577.238368
2.74,987,2598.580376
1.88,917,2771.555821
-2.77,85,2773.264301
1.55,893,2790.111281
3.26,1041,2906.528409
3.16,1039,2981.603517
2.48,1019,3099.650914
-0.93,434,3108.828713
-1.29,371,3149.592861
2.03,1014,3276.724863
1.6,823,3295.62304
1.75,887,3344.034596
-2.8,78,3345.852125
1.68,913,3469.298475
-2.98,4,3469.390471
1.94,1005,3489.80846
-2.7,49,3490.990195
3.09,1025,3694.590945
1.97,977,3718.617599
-2.08,226,3723.987971
1.4,758,3906.977537
-0.76,481,3915.414601
-0.47,448,3923.222724
1.69,761,4108.706158
-2.36,156,4114.347621
2.7,1031,4190.805068
2.81,1027,4338.094296
-1.73,329,4351.32947
-2.57,94,4356.452176
1.82,1008,4427.692319
-2.53,129,4540.742502
-2.77,46,4541.69548
-3.05,28,4542.243479
1.88,944,4562.971941
-2.52,112,4565.393856
-0.3,622,4625.506941
-2.18,196,4630.174362
0.98,680,4824.536466
-2.79,80,4827.521884
-0.5,492,4848.630512
-1.19,375,4865.072868
-2.49,129,4870.26701
1.0,745,5169.383408
-1.04,400,5180.941313
-2.99,21,5181.565287
1.52,970,5210.412409
2.06,1027,5380.102021
-2.95,49,5380.921965
2.54,1015,5398.089165
1.4,964,5525.73051
-2.05,244,5530.844339
0.88,740,5606.475528
3.53,1064,5737.339962
-3.0,36,5738.022544
0.11,632,5751.285316
-3.07,16,5751.561794
-2.15,145,5798.112082
-0.96,438,5806.977371
2.55,955,5943.181183
0.78,692,5956.16192
-2.87,64,5957.433353
