#{"t_start": 1743700485.7990904, "env_id": "None"}
r,l,t
-3.21,7,3.936512
-2.71,85,4.534541
-2.98,42,4.836603
-2.7,136,5.808508
-2.44,114,6.602717
-3.12,6,6.648718
-2.98,4,6.681715
-2.99,2,6.698716
-1.14,395,9.792173
-2.94,32,10.038857
-2.99,2,10.061889
-2.65,59,10.590951
-2.98,4,10.627952
-2.99,2,10.660004
-3.13,4,10.70095
-2.99,2,10.728949
-2.99,42,11.15214
-3.2,9,11.244262
-2.98,4,11.280213
-2.99,2,11.300232
-3.1,10,11.376208
-3.14,10,11.448252
-3.21,7,11.50015
-3.07,5,11.535291
-2.49,119,12.439222
-2.46,143,13.559953
-2.32,182,15.011151
-2.34,170,16.28589
-2.2,187,17.683573
-2.99,2,17.698572
-2.79,61,18.272695
-3.02,34,18.606554
-3.05,29,18.916549
-1.53,337,116.900226
-3.09,12,117.190225
-2.47,133,120.645754
-2.76,37,121.420595
-1.55,257,141.014744
-3.11,8,141.143747
-3.12,6,141.250741
-3.25,28,141.766733
-2.48,134,144.029161
-2.88,32,144.543518
-2.87,56,145.443505
-3.17,15,145.797494
-2.78,60,147.069515
-2.63,151,149.698135
-2.82,36,150.257123
-1.21,374,156.147879
-3.28,12,156.350879
-2.12,148,159.439478
-2.84,52,160.713266
-1.26,357,267.724633
-3.02,35,268.455885
-1.78,268,273.284534
-0.95,385,279.900647
-2.69,89,281.280627
-2.73,62,282.550327
-2.75,58,302.870006
-2.84,68,304.186336
-1.76,292,309.222783
-2.38,163,311.504363
-2.89,22,311.875352
-2.76,86,313.242203
-3.01,28,313.730175
-2.2,180,316.93931
-3.18,13,317.149307
-2.55,128,319.113926
-3.03,5,319.186929
-1.52,264,426.214773
-2.84,40,426.81076
-2.99,2,426.84376
-2.93,44,427.607278
-3.05,9,427.748164
-3.07,54,428.588679
-3.1,10,428.746671
-1.34,364,434.19073
1.3,673,444.838722
-1.77,300,472.184259
-2.42,154,474.603272
-2.84,100,476.35321
0.96,676,588.757379
-2.96,8,588.900376
-1.39,328,594.464562
-2.98,4,594.532559
-2.98,4,594.61856
-1.72,236,598.520506
0.07,620,609.098253
-2.49,141,650.67597
-2.91,40,651.367568
-2.98,4,651.445568
-3.02,35,651.987551
-0.47,478,758.637299
-2.5,149,761.758548
-0.34,515,773.165576
-1.31,373,779.463596
-3.0,30,780.073203
-1.63,224,783.861745
-3.12,6,783.982741
-3.03,5,784.060737
-3.11,8,784.190739
-0.95,319,790.989945
-3.0,30,791.719758
-2.84,2,791.780391
-3.13,4,892.852464
2.95,1051,951.948739
1.46,713,963.835768
-2.31,146,966.014539
-2.7,95,967.537757
-2.75,70,1066.327637
-2.99,13,1066.590259
2.79,1021,1107.488307
-1.74,260,1112.328196
-0.9,423,1118.960331
-0.94,376,1222.570973
-2.98,80,1224.055849
-3.02,7,1224.167394
2.99,1030,1259.209298
-1.06,322,1264.746165
-2.49,110,1266.608204
-1.03,399,1273.171117
1.31,787,1385.855078
0.5,628,1396.557903
2.34,869,1540.789637
-3.03,24,1541.255626
-0.73,333,1547.985821
-2.21,204,1551.745014
1.01,806,1566.196331
2.66,1017,1723.345747
-2.41,107,1725.858192
-2.76,143,1728.524416
-0.55,443,1736.530607
-2.52,104,1738.402406
0.2,510,1747.552721
-1.2,296,1860.333358
2.2,1017,1908.79037
-0.81,358,1916.045612
-1.6,304,1922.278131
2.48,1029,2042.436822
-0.91,402,2076.610026
-0.13,556,2087.562478
2.47,1058,2220.535017
-2.72,96,2222.500749
-0.75,433,2230.998327
2.69,1031,2391.613903
2.27,1013,2412.638208
-1.86,211,2416.862499
-1.23,361,2451.816065
1.65,866,2581.035343
-3.04,31,2581.662948
1.0,668,2596.139199
2.97,1028,2771.512819
-1.74,230,2776.346699
-0.24,535,2787.552908
-0.78,402,2792.349775
0.44,627,2900.114518
-1.92,221,2906.394914
-1.35,365,2969.329919
2.51,1037,2986.633606
-2.09,165,2988.636543
-1.23,337,3095.845392
-1.88,212,3100.999116
1.35,735,3149.235444
0.9,579,3160.455284
2.16,956,3287.917663
2.24,1015,3339.829515
-1.52,293,3346.404773
2.87,1029,3472.145736
-2.39,181,3475.659493
0.36,688,3489.757461
3.36,1037,3693.848269
2.96,1042,3719.349995
1.42,828,3904.528436
1.97,974,3921.551625
3.41,1030,4115.793007
-0.6,444,4184.31742
0.32,750,4193.331946
2.45,1016,4343.173951
-3.04,12,4343.784204
-3.09,21,4344.866644
0.89,772,4416.620773
-1.18,360,4425.560703
-2.12,162,4429.853488
1.9,858,4558.211825
3.0,960,4625.887028
-2.98,4,4625.985023
-2.96,65,4627.516207
-0.75,460,4810.180312
0.79,805,4843.288587
1.23,730,4875.531635
-2.29,199,4885.121251
-2.19,137,5055.634798
1.44,942,5188.243748
-1.71,233,5195.502947
2.07,1044,5337.397641
-2.42,135,5339.629613
0.14,766,5386.806085
-1.22,356,5393.08533
-0.11,533,5402.425302
2.18,1009,5531.737433
