#{"t_start": 1743700485.8260903, "env_id": "None"}
r,l,t
-3.13,4,3.879514
-3.1,10,3.967024
-1.78,264,5.840403
-2.76,102,6.542715
-3.21,7,6.598716
-1.85,232,8.423323
-2.67,112,9.325324
-2.37,183,10.876412
-3.25,9,10.967877
-2.5,89,11.706285
-3.11,16,11.823207
-2.48,161,13.069852
-2.66,163,14.380178
-2.91,7,14.441791
-2.68,102,15.224794
-2.97,6,15.265674
-2.89,60,15.710884
-2.82,112,16.547883
-2.64,129,17.520578
-3.05,28,17.729586
-3.07,70,18.414563
-2.53,110,19.511199
-1.28,349,118.759214
-3.15,9,119.011598
-2.64,80,121.011745
-2.99,2,121.068747
-2.96,16,121.4363
-2.45,115,138.344067
-3.02,34,139.036577
-2.66,65,140.189756
-3.03,5,140.277765
-1.33,340,146.270489
-1.28,330,151.886141
-3.14,29,152.30913
-2.65,109,154.048999
-3.12,6,154.140995
-2.45,148,156.568871
-2.15,189,160.753245
-2.53,121,163.285438
-2.99,2,163.365441
-2.99,2,163.433435
-2.75,90,165.335363
-1.9,218,269.062876
0.05,560,279.055884
-2.96,65,280.099643
-2.1,155,302.206456
-2.7,60,303.217002
-2.89,41,304.059336
-1.21,386,310.442749
-2.73,62,311.307597
-2.64,92,312.775337
-2.92,65,313.907172
-2.41,138,316.364335
-2.78,83,317.676368
-0.61,431,427.34831
-2.91,48,428.074686
-3.18,32,428.585678
-2.91,76,429.676649
-1.65,297,434.16373
-2.03,232,437.822523
-3.01,28,438.335515
-1.72,270,442.346844
-1.73,303,469.913654
-3.25,18,470.282647
-3.11,46,471.073285
-1.54,298,475.818199
-1.93,205,579.168216
1.58,734,592.571089
-1.45,346,598.449505
-2.16,197,602.078121
1.93,859,752.738954
-1.0,334,760.197581
-2.3,118,762.485057
-2.44,112,765.184181
-1.22,317,772.239658
-2.15,205,776.040471
-2.52,131,778.110468
-0.44,484,786.580823
0.55,712,940.316479
-3.15,19,940.728457
2.24,1010,959.862995
-1.1,387,965.812545
-3.07,16,966.054537
-1.42,269,1068.452518
2.44,818,1105.566597
-2.38,132,1107.882301
1.2,738,1120.050535
1.8,784,1230.76771
-0.76,404,1237.609459
-0.18,506,1264.06418
3.55,1048,1381.151605
-1.82,181,1383.990454
-2.72,64,1385.078015
-2.94,42,1385.78308
2.36,1017,1438.083207
-3.03,24,1438.442199
-3.1,10,1438.605194
-0.51,546,1542.745419
-1.48,358,1549.871797
0.89,808,1564.360805
-1.08,334,1569.545422
-3.03,5,1569.633424
-1.54,335,1714.69782
0.29,649,1727.625434
1.58,918,1744.075336
1.47,872,1896.815277
-1.9,257,1901.437648
-2.3,137,1904.390361
-3.2,36,1905.033354
0.4,653,1918.009185
-3.07,35,1918.734415
-2.75,71,1920.126218
-2.33,174,1924.116096
-1.54,196,2027.218649
-2.79,72,2028.557743
-1.43,300,2034.712509
-3.03,5,2034.857804
-2.68,42,2035.821784
-2.85,30,2036.39077
-2.73,54,2037.391177
-2.7,49,2038.310677
-2.87,45,2039.155655
-0.06,519,2075.781046
-1.89,183,2079.305904
0.37,645,2092.246941
3.31,1004,2224.218379
-0.83,447,2279.381854
1.04,703,2386.673449
-2.64,107,2388.811686
2.45,997,2409.507667
3.29,1045,2568.031897
-0.57,481,2579.796162
-2.33,131,2582.57521
-1.17,360,2590.328691
-2.2,157,2593.70999
-2.57,132,2596.632062
2.69,1020,2771.800814
0.12,596,2784.18737
-1.16,395,2790.450817
-2.97,6,2790.524813
-1.02,365,2794.959987
-0.41,482,2902.114116
-2.23,151,2906.23982
-2.51,136,2910.009268
-2.64,106,2912.391271
-0.76,425,2974.609211
-0.13,582,2984.869781
1.18,805,3099.249161
-0.87,378,3107.361482
-0.7,456,3149.866849
-0.0,625,3162.083005
-0.15,498,3279.579445
1.05,742,3296.561368
-1.33,449,3305.285437
-2.33,150,3338.579606
-0.41,501,3348.861015
2.36,1024,3475.04502
3.26,1047,3675.142606
-3.05,20,3675.76062
2.45,1016,3701.724391
-1.02,373,3710.729429
0.09,656,3859.496309
-2.23,181,3863.869904
2.39,956,3915.626106
2.39,1015,4103.293842
1.54,964,4186.048191
1.88,903,4197.427457
-0.47,508,4337.627335
-3.03,5,4337.734541
3.25,1071,4418.085521
2.51,1027,4552.02497
-0.83,433,4561.518768
2.55,1005,4630.407226
2.9,918,4833.883421
1.25,723,4866.168701
2.84,1025,5174.514308
0.29,709,5195.222964
2.18,1014,5336.741246
0.92,808,5384.796398
1.68,904,5400.145737
-1.03,349,5516.17661
-3.03,5,5516.301623
1.0,886,5595.003297
2.51,929,5613.289412
0.7,640,5735.979842
-0.52,482,5746.349877
0.51,635,5802.517642
1.69,884,5937.301696
-1.56,312,5943.461391
-2.38,148,5946.247363
