#{"t_start": 1743700485.8010914, "env_id": "None"}
r,l,t
-2.36,186,5.214787
-1.99,240,6.941708
-2.23,211,8.590564
-2.6,138,9.672892
-2.49,121,10.726948
-3.05,47,11.202183
-2.37,165,12.469105
-2.99,2,12.492106
-3.1,10,12.576737
-2.85,107,13.391998
-3.03,14,13.49695
-2.99,2,13.51595
-2.58,168,14.866531
-3.11,8,14.92616
-3.3,27,15.150156
-1.4,347,17.731585
-2.78,90,18.604553
-2.42,143,20.019829
-3.13,4,20.061813
-1.75,206,116.535743
-3.06,26,117.218221
-2.06,166,121.310096
-1.48,332,142.318189
-2.88,5,142.412184
-2.62,100,144.04416
-3.07,5,144.118159
-2.82,76,145.309511
-3.39,20,145.751495
-2.98,4,145.912502
-3.03,14,146.162494
-2.98,24,146.655513
-2.99,2,146.709507
-1.84,207,150.301125
-2.88,43,150.965113
-2.6,90,152.335133
-2.54,119,154.238992
-3.21,7,154.382989
-3.07,16,154.695992
-2.87,46,155.362977
-2.99,21,155.684887
-2.98,4,155.756886
-3.09,39,156.381901
-2.05,199,160.746251
-3.13,4,160.840242
-2.75,89,162.705441
-3.03,13,162.984438
-3.16,17,163.343441
-2.99,2,163.418431
-2.45,140,166.082767
-1.42,305,271.595887
-2.96,28,272.178857
-2.06,155,274.881513
-2.12,222,278.745485
-2.15,168,281.459991
-3.11,8,281.603993
-3.11,8,281.773085
-1.58,281,306.168851
-2.97,6,306.279848
-2.77,54,307.09473
-2.22,164,309.95476
-2.45,126,311.735353
-3.05,20,312.070345
-3.13,4,312.137369
-2.99,2,312.17734
-3.19,11,312.354336
-2.54,100,314.088548
-2.28,138,316.523317
-2.89,11,316.693313
-3.11,8,316.809311
-2.86,85,318.130359
-2.92,16,318.372352
-2.16,165,423.737978
-2.17,212,427.208286
-1.64,308,431.753281
-1.91,215,435.26619
-2.8,79,436.425164
-2.69,100,437.979518
-2.27,148,440.271413
-3.12,6,440.361393
-2.72,64,441.285478
-2.36,168,444.152649
-2.16,195,469.652119
-0.81,440,476.917691
-3.02,53,477.701939
-3.11,35,478.248013
-0.62,473,587.168559
-0.57,413,594.382562
3.02,994,650.422971
-3.1,10,650.583969
-2.69,82,651.929555
-2.99,2,651.966552
-2.99,2,652.013579
-3.03,5,652.086553
-2.99,2,652.132552
-2.06,158,751.679566
-2.99,2,751.740362
0.79,741,768.287152
-3.1,10,768.517169
-2.24,160,771.995662
-1.89,250,776.547447
-0.84,426,783.626748
-2.84,13,783.829754
-3.1,10,784.027741
-2.92,73,785.508849
-2.4,169,788.508957
-1.01,400,936.75363
-1.05,373,943.494481
-0.09,532,954.331002
-2.92,36,955.00499
-0.02,480,962.868788
2.96,1022,1099.634536
2.45,1016,1118.195347
-2.58,103,1119.620243
-2.6,85,1120.794518
-3.05,20,1121.069512
-0.62,407,1225.878588
1.82,694,1237.329436
2.09,985,1271.748633
3.42,1069,1389.094059
-0.19,567,1398.636455
2.0,1011,1546.518744
-0.26,571,1557.325202
-1.89,230,1561.483694
-2.61,106,1563.212831
-2.98,4,1563.284829
3.0,1096,1721.221886
-1.63,243,1726.545674
-2.93,44,1727.353654
2.71,1052,1746.29529
3.2,1046,1902.154549
0.65,570,1913.343725
0.72,611,1926.281721
-1.32,330,2032.23579
1.9,814,2074.705883
-1.57,337,2081.114659
-0.81,383,2088.854659
3.1,1042,2221.422773
-2.43,141,2224.502645
0.16,538,2280.456231
-1.71,241,2283.202629
-3.1,10,2283.335075
-1.98,152,2284.964051
-2.07,172,2286.905776
-3.09,12,2287.067395
2.27,1023,2407.650583
-1.43,223,2412.330692
-2.87,83,2413.970436
-3.07,24,2414.507614
0.68,683,2455.994189
0.27,590,2579.459166
-2.89,22,2579.955156
0.19,587,2592.565917
3.14,1035,2716.776508
-0.8,442,2777.515665
-2.94,39,2778.386666
2.57,937,2793.622033
3.16,1033,2913.323071
0.59,682,2980.081354
-2.99,32,2980.674912
-2.4,125,2983.003576
-2.12,202,2985.71871
-1.86,260,2988.785155
-1.05,351,3096.425061
1.91,950,3149.84985
-2.37,151,3152.909361
-0.79,372,3159.977294
3.08,1029,3288.834373
2.73,1039,3341.381493
-0.46,574,3459.682232
0.8,714,3472.865802
3.07,1058,3494.839437
3.14,1035,3699.334206
-2.18,221,3704.772878
2.51,1018,3862.160375
-2.7,106,3864.556951
1.64,931,3915.799591
-0.57,502,3924.407926
2.18,1015,4122.170839
-2.38,148,4130.605327
2.24,1015,4194.941252
-2.27,189,4197.375432
-3.03,5,4197.452456
0.28,762,4346.08102
-1.79,285,4360.680055
0.37,831,4425.6297
-3.03,14,4425.975807
2.05,855,4555.125519
3.59,1070,4578.648282
-1.62,367,4802.916429
2.28,911,4839.381428
-1.01,397,4858.248419
2.66,1017,5168.563409
2.33,1014,5198.361695
-0.97,381,5209.548248
-2.54,108,5213.166269
-1.81,205,5219.406105
-2.37,123,5334.492363
1.73,924,5385.100135
-2.76,67,5386.130986
-0.7,442,5393.818626
-0.59,467,5401.922435
2.1,907,5529.134863
-2.34,168,5532.463434
