#{"t_start": 1743700485.8350887, "env_id": "None"}
r,l,t
-3.01,9,3.918024
-2.97,63,4.347545
-2.99,2,4.364544
-3.16,8,4.421591
-0.5,516,8.252144
-1.82,282,10.51194
-3.11,8,10.591954
-3.03,5,10.651951
-2.6,118,11.687134
-2.61,105,12.507256
-1.91,253,14.516795
-2.45,148,15.62189
-2.99,2,15.638724
-2.99,2,15.655783
-2.98,4,15.686795
-2.55,109,16.497886
-3.37,13,16.597886
-2.95,30,16.823884
-3.21,7,16.875883
-2.99,2,16.897002
-3.2,9,16.967037
-2.98,4,16.996587
-2.52,112,17.846572
-2.15,186,19.724712
-3.05,29,19.986818
-1.6,277,118.110206
-3.13,4,118.212136
-2.93,44,119.488775
-3.05,20,120.034764
-2.79,110,122.594593
-2.54,89,138.837048
-2.83,72,140.109766
-2.18,180,143.318175
-3.3,16,143.580168
-2.91,37,144.17101
-2.99,2,144.208022
-2.05,217,148.273487
-2.5,117,150.175131
-2.03,267,154.382998
-3.09,12,154.616988
-2.73,62,155.541172
-2.97,6,155.628891
-3.28,12,155.82989
-3.21,7,155.939887
-2.04,216,160.459259
-3.13,12,160.806245
-1.79,247,165.815805
-2.52,126,268.128892
-2.83,73,269.279869
-2.82,74,270.541756
-2.46,127,273.122535
-0.7,465,280.977633
-2.99,2,281.016631
-2.34,160,303.29701
-2.17,163,306.154873
-2.98,4,306.226853
-1.67,282,310.811613
-3.05,20,311.083604
-2.66,87,312.431341
-2.81,84,313.856178
-2.53,72,315.234064
1.2,749,429.827649
-3.2,28,430.242815
-2.92,46,430.895258
-3.04,30,431.311245
-3.07,35,431.838283
-1.74,227,435.551187
-3.04,22,435.86818
-2.77,92,437.182513
1.39,776,472.100262
-3.1,29,472.523873
3.43,1064,591.388638
-3.01,28,591.81478
-2.67,105,593.692063
3.02,1028,650.320988
-2.96,8,650.454971
-1.26,353,753.847559
-2.95,40,754.818378
-2.98,53,756.078335
-1.93,151,759.309285
-3.19,30,759.96659
-3.15,19,760.343603
1.36,792,776.806444
-3.03,5,776.88844
-1.6,225,780.587285
-2.97,55,781.494776
-3.13,4,781.570775
-2.22,112,783.458751
-2.22,194,787.065433
3.46,1062,948.057975
-1.82,189,951.889737
-2.53,151,954.663996
-2.01,236,958.718512
-2.89,60,959.630005
2.69,1020,1074.708028
-0.73,442,1104.771611
-1.31,266,1109.362514
-2.99,41,1110.1835
-3.06,18,1110.511879
-2.04,219,1114.610113
-1.66,221,1117.997346
-0.94,436,1222.361984
-1.94,204,1226.028587
-1.4,300,1230.881711
-0.13,584,1258.429315
-2.81,68,1259.719879
-3.09,12,1259.922875
-3.22,24,1260.321865
-1.4,328,1265.895221
-1.81,175,1268.823518
-0.89,438,1375.482713
0.7,643,1386.394784
-2.59,79,1387.673752
-2.78,44,1388.317925
-2.5,100,1390.031039
-0.41,460,1397.771476
2.22,924,1543.898567
-3.01,19,1544.318556
-2.08,192,1547.862825
1.89,1010,1566.117313
-0.68,413,1572.617589
0.1,684,1725.010563
1.02,715,1738.270401
-1.94,285,1743.270591
-1.72,258,1748.041156
-2.98,34,1748.649141
-2.57,86,1750.168153
-2.69,101,1859.317983
2.03,1009,1907.726393
-2.38,118,1909.866241
-2.95,18,1910.199228
-3.02,65,1911.440951
-0.9,343,1918.675415
-2.97,6,1918.837414
-2.99,2,1918.869412
-0.07,560,2029.534059
-1.63,308,2036.07678
-2.55,118,2038.271681
-2.46,127,2040.826776
-1.57,305,2073.19591
-1.0,408,2081.002662
-2.98,4,2081.080662
-2.96,28,2081.576656
-2.71,58,2082.727977
-2.96,8,2082.90097
-2.8,48,2083.882264
1.57,786,2210.587031
2.59,1036,2231.9757
-1.6,252,2281.503924
0.25,594,2388.802688
-2.88,71,2390.298708
-1.7,243,2395.50364
2.05,942,2414.882158
2.37,1018,2574.049501
2.67,1028,2596.579031
-0.77,385,2605.007435
-0.42,392,2715.115057
2.24,1015,2787.778903
-2.15,205,2790.224489
-2.36,167,2792.189782
3.05,1031,2911.102249
0.09,505,2974.952618
2.64,1020,2990.193016
-2.19,137,3094.486813
1.91,1043,3149.772857
-1.18,330,3156.112662
3.34,1036,3284.947479
-2.94,42,3285.910756
1.23,693,3301.063066
-1.19,318,3307.246372
-2.07,221,3342.416749
2.18,1024,3468.477835
-0.79,445,3477.112765
-0.07,616,3490.07322
-1.4,296,3550.023122
1.5,783,3694.986044
-2.72,110,3697.849637
2.2,1027,3722.943042
-3.09,12,3723.21657
-2.48,150,3859.433309
2.6,1022,3913.590936
0.35,551,3923.15823
1.82,1003,4118.606817
-1.29,352,4183.777977
1.83,811,4193.625519
-2.97,52,4194.411071
-2.86,17,4194.64715
-1.67,300,4326.595838
-2.94,52,4327.861446
-1.06,441,4339.258352
0.6,719,4368.099732
-2.54,100,4414.022807
-0.96,451,4424.915883
2.75,1026,4557.763292
-2.86,17,4558.113668
-0.25,475,4568.644891
-2.67,93,4570.566143
-0.14,550,4629.590376
3.41,1032,4836.694791
2.38,894,4876.23976
-0.32,573,5168.564425
1.15,802,5191.566182
-0.58,508,5206.954409
-2.61,97,5209.988338
-2.55,98,5213.231764
