#{"t_start": 1743656967.0587347, "env_id": "None"}
r,l,t
-6.05,38,1.61976
-6.55,17,1.759742
-5.1,40,2.063738
-3.6,74,2.709054
-3.9,53,3.140045
-4.75,54,3.658042
-6.1,7,3.713033
-4.7,56,4.170013
-6.6,40,4.503379
-6.75,10,4.583162
4.7,24,4.781689
-4.85,51,5.178679
-6.1,7,5.239677
-6.1,35,5.527671
3.9,23,5.717668
4.6,44,6.067659
-6.15,34,6.345698
-4.0,89,7.09359
-6.5,18,7.241573
-5.05,39,7.570566
-5.65,54,8.0019
2.8,14,8.119957
-4.0,113,9.119519
-5.65,54,9.606668
-6.45,22,9.793358
-6.45,22,9.990643
-5.6,55,10.456979
-2.85,89,11.254657
-6.3,28,11.505737
-5.85,46,11.961375
-6.45,38,12.307429
5.85,114,13.378538
-6.1,36,13.734764
-3.1,86,14.501158
-4.9,49,14.928463
-4.35,71,15.480957
-3.3,78,16.164921
-2.8,143,17.385922
-6.7,12,17.476609
5.75,49,17.882766
-5.65,18,18.028988
2.9,18,18.173261
-0.7,156,117.397708
-6.1,7,117.495704
-2.15,105,119.349233
5.7,71,120.433013
-4.9,83,121.664886
4.8,63,122.791554
-5.4,28,123.330688
6.0,72,131.919361
4.65,64,132.918332
-4.75,54,133.75831
-4.3,107,135.433646
-5.0,52,136.204706
-2.65,139,138.242712
-5.45,61,139.251002
-2.2,108,141.597237
-5.65,62,142.897208
4.35,23,143.39093
7.05,78,144.956894
-7.25,13,145.173887
-5.5,49,146.039798
-5.5,30,146.493794
-6.15,5,146.566781
-3.25,117,148.484781
-5.65,24,148.868773
-2.15,74,150.047759
6.05,89,151.574171
-2.95,96,153.432148
4.9,45,154.310184
-0.65,130,156.556368
4.15,15,156.912456
9.45,114,158.859149
-6.0,10,270.375249
4.65,35,270.901235
5.45,61,271.880253
-2.55,111,273.918762
-4.6,60,274.970685
-5.7,50,275.740285
-1.4,121,277.604472
-5.55,27,278.029187
5.85,48,278.819029
9.75,127,280.838416
4.05,11,281.002411
-3.95,36,281.544399
0.9,199,284.721243
4.95,47,290.835935
6.55,53,291.633552
-1.35,127,293.53258
-1.1,105,295.082529
4.05,11,295.246523
-1.05,132,297.188803
0.45,179,299.809316
4.05,11,299.973292
-2.6,92,301.413048
9.15,103,303.092825
-4.0,35,303.652128
10.85,137,305.853966
0.25,128,432.707034
-5.35,36,433.774528
9.85,92,436.731982
-5.15,44,438.164155
-1.8,136,441.413353
8.1,138,444.314846
12.25,169,447.540809
4.85,43,448.342177
4.15,15,448.624981
6.1,58,449.858223
-4.75,58,451.224307
-6.1,9,451.410277
5.4,30,452.004445
5.95,52,452.969784
9.0,84,454.611995
-3.6,51,455.737768
4.05,11,456.022607
3.45,16,456.413446
9.3,151,459.50185
-4.45,37,460.163385
-0.0,147,470.663125
5.55,16,470.997419
-3.25,29,471.54062
-3.8,91,473.364401
-1.55,74,474.639687
-3.3,83,476.150469
-5.3,38,476.855789
4.35,23,477.277681
-4.05,52,478.279991
-1.15,106,480.143859
-5.05,47,481.055327
6.65,80,482.564236
6.45,81,608.160611
5.35,56,609.660302
4.05,11,609.942919
-5.55,58,611.453729
0.4,44,612.367461
-4.55,63,613.529053
-4.4,39,614.263321
9.5,174,618.209404
-4.0,64,619.708007
0.15,105,622.302015
6.55,55,623.496882
4.5,29,624.347953
1.65,208,629.190116
-3.55,58,630.602093
2.6,190,636.32761
12.4,196,640.911441
4.05,11,641.16095
5.6,18,641.574187
5.0,49,642.788788
-4.65,65,644.831357
-6.15,5,644.965652
7.35,73,646.905384
7.65,93,649.37978
5.3,44,650.383855
-2.75,70,658.65433
-3.85,91,660.566547
-1.25,160,782.465357
2.45,212,786.569593
-1.9,105,788.436449
5.15,35,789.080225
5.1,55,790.053682
-6.35,35,790.67783
6.0,62,791.673879
4.85,278,797.143688
4.05,11,797.370456
-0.35,89,799.310638
9.5,174,802.897379
10.25,142,805.776656
-5.4,35,806.471875
5.2,30,807.097616
-2.65,118,809.529873
-3.85,79,811.13003
10.8,133,814.048531
5.3,34,814.952439
-6.1,35,816.015551
12.65,189,819.590466
7.15,115,821.704219
-6.7,11,821.904733
-5.85,16,822.20141
-4.7,12,822.413018
