#{"t_start": 1743656967.0007246, "env_id": "None"}
r,l,t
4.05,40,1.692756
-6.15,34,1.965764
-6.35,26,2.158746
13.4,206,3.966038
-7.4,8,4.028205
-3.65,64,4.551505
-5.75,48,4.937705
-6.15,58,5.396687
-7.15,18,5.547684
-3.7,66,6.087673
-6.25,19,6.242661
6.7,76,6.883597
2.2,193,8.465716
-2.05,117,9.52574
-5.35,66,10.110934
-5.5,84,10.831077
-6.55,18,10.983192
-5.8,23,11.199311
3.4,40,11.563747
5.4,59,12.1438
3.15,13,12.254942
2.75,12,12.365439
-1.85,125,13.55012
-2.85,126,14.67648
-6.45,14,14.806544
-7.15,18,14.967366
6.35,73,15.537966
3.6,22,15.725108
-7.35,9,15.799107
5.65,79,16.497774
3.35,36,16.801224
-4.75,86,17.526621
-6.35,26,17.734005
3.7,15,17.863213
-4.6,78,18.522628
-7.35,9,18.592627
6.65,142,117.871498
-5.65,22,118.328238
6.45,70,119.532958
4.85,23,119.882471
8.75,125,121.749551
4.35,23,122.104709
-2.5,87,123.789832
-3.95,79,132.389356
9.4,140,134.652279
-4.85,62,135.577654
-3.85,62,136.485718
-4.35,71,137.522691
-2.35,80,138.719025
-0.05,133,141.484254
4.35,13,141.750247
-0.45,119,144.21192
0.7,157,146.941787
-0.1,140,149.238821
-4.1,51,150.034635
4.35,23,150.39963
-5.1,41,151.116195
-5.65,57,152.130458
1.55,190,155.678404
5.9,85,157.341457
0.9,171,271.411013
4.4,25,271.812147
0.9,218,275.642677
6.45,72,276.784506
6.6,23,277.135493
-5.8,18,277.40449
7.55,81,278.666041
-5.75,20,279.019035
4.05,208,282.242473
-6.05,9,282.383575
10.7,177,290.636955
8.6,117,292.423181
-4.0,35,292.933651
-5.75,21,293.228599
0.65,144,295.34959
-0.15,150,297.558631
-3.8,63,298.493888
8.8,96,299.881325
-5.9,15,300.1003
-2.0,113,301.869128
-3.25,93,303.419834
-1.55,112,305.200636
8.1,96,306.738484
4.95,12,306.907859
-4.25,66,432.815008
0.4,175,438.382404
4.65,35,439.388011
-5.05,17,439.798762
4.05,11,440.082514
5.25,10,440.304436
5.15,55,441.413368
-4.35,27,441.934576
-6.0,11,442.176081
6.5,67,443.583733
8.0,99,445.648912
-3.25,29,446.234346
6.55,78,447.624172
1.0,187,451.568221
-4.45,37,452.262522
-3.6,23,452.705717
4.95,47,453.593675
5.3,61,454.808759
7.7,137,457.914962
6.2,62,459.108376
13.0,174,462.604762
4.15,229,474.467989
-3.85,61,475.523502
13.65,183,478.940581
-2.9,99,480.680214
6.85,60,481.873544
8.45,117,608.119636
-2.75,85,610.497914
-3.7,69,612.034024
15.35,275,617.824225
10.25,183,622.187028
-2.7,24,622.762403
-4.9,19,623.15004
-1.4,157,627.100931
0.15,100,629.285126
5.25,10,629.461122
5.15,20,629.937114
4.6,27,630.702815
8.0,78,633.307135
-4.65,15,633.899383
-4.4,52,635.218917
-3.55,47,636.454619
-4.7,61,637.803679
5.8,25,638.412071
5.65,227,644.235383
5.1,208,649.756956
-4.75,55,651.014193
9.55,120,660.360682
5.05,45,661.22929
5.25,24,661.721438
-4.9,48,662.796799
5.2,22,781.728797
4.3,24,782.20476
-4.75,11,782.485011
5.15,29,783.088912
-3.15,139,785.880116
-4.1,79,787.243349
5.45,44,788.000895
3.6,22,788.391546
-4.75,52,789.345483
6.35,12,789.557039
-3.85,12,789.754958
5.0,42,790.508584
-1.95,87,791.913287
4.5,23,792.293058
-4.8,56,793.506915
5.35,70,794.901245
-3.6,70,796.207611
6.2,91,798.162212
-5.4,28,798.812117
5.3,66,800.10694
5.0,49,801.018082
8.5,99,803.196003
-1.5,108,805.441566
4.45,245,810.371212
-6.0,10,810.599433
-5.15,46,811.522308
10.75,123,814.297724
-1.6,88,816.700558
-1.45,134,819.155757
6.2,13,819.368713
-3.0,91,821.000874
