#{"t_start": 1743656967.0317214, "env_id": "None"}
r,l,t
-5.9,44,1.699759
-5.5,24,1.887755
-6.65,17,2.015754
-3.25,66,2.586069
-6.65,14,2.704067
-4.75,92,3.528049
-6.7,12,3.633048
-7.4,8,3.693043
-4.75,63,4.205031
-3.85,84,4.891701
-6.1,35,5.168692
-6.85,9,5.237696
7.3,106,6.10167
-6.5,20,6.268669
7.0,114,7.214587
-7.05,22,7.397588
4.1,66,7.939573
-6.6,40,8.266393
-5.8,67,8.880548
3.0,188,10.523205
-5.3,50,10.952196
-4.85,44,11.356266
-4.95,75,12.079383
-5.55,44,12.471976
-6.4,24,12.699457
-5.8,70,13.367326
-6.3,28,13.651998
-6.5,37,13.969995
-6.0,10,14.069116
4.1,42,14.455906
3.5,18,14.599489
-6.1,7,14.654485
-6.15,55,15.121047
3.25,34,15.390206
-5.55,82,16.088934
-5.4,57,16.585775
4.0,27,16.817903
-3.5,70,17.412935
-6.4,24,17.595621
5.55,93,18.386633
3.4,14,18.499629
3.9,34,18.771263
-2.4,135,118.243239
-1.9,99,119.89447
5.05,73,120.994201
4.9,25,121.360629
4.3,21,121.677879
-2.15,138,131.567382
-5.25,40,132.141367
-1.65,145,134.480196
-1.05,126,136.349726
-4.35,42,136.981707
-5.75,59,137.83374
-3.85,67,138.844021
4.2,46,139.730384
-4.85,86,141.62425
4.3,15,141.951246
-4.75,83,143.681936
-4.9,59,144.873908
4.25,19,145.2009
-3.9,92,146.712794
7.55,81,148.074805
0.35,141,150.310631
5.65,86,151.810229
-1.0,134,154.434285
4.8,46,155.222415
-4.45,37,155.822407
-7.0,27,156.305387
-3.65,81,157.888866
-2.5,117,271.056245
6.75,49,271.85315
4.1,13,272.074142
-4.65,65,273.262869
-4.55,12,273.485239
-5.05,52,274.454717
6.15,95,276.0001
4.55,53,276.812639
-6.0,10,276.976501
9.15,103,278.546058
6.6,69,279.688131
-2.75,105,281.31342
-3.75,66,282.323578
6.15,60,283.263288
-3.05,38,283.866575
-2.2,79,290.57496
4.05,11,290.732951
-6.15,8,290.848056
-1.8,69,291.906198
7.1,98,293.3556
4.8,34,293.841824
-1.25,171,296.384481
5.4,30,296.825003
-0.5,117,298.548614
4.3,21,298.864941
-5.95,41,299.443925
-4.4,90,300.84197
4.2,17,301.100926
7.45,105,302.748334
-2.2,107,304.494488
0.2,155,306.958307
-1.45,94,433.763538
-5.0,50,435.225009
-4.55,72,437.701304
0.1,141,441.21911
4.3,21,441.686346
6.75,113,444.037839
8.7,114,446.336746
4.95,40,447.0279
5.95,31,447.611174
-1.7,68,448.885983
0.15,169,452.496713
-1.6,170,455.982749
-1.7,131,458.80402
6.85,88,460.410369
-2.45,139,470.781623
-4.65,64,472.014652
8.75,109,474.151447
6.25,240,478.509516
-5.3,39,479.189125
-3.45,49,480.069733
-4.95,52,481.06234
0.5,131,607.396647
9.2,85,609.626932
-4.9,28,610.509917
6.15,39,611.386102
11.35,141,614.086062
12.25,155,617.570233
3.85,32,618.318413
3.7,26,618.864402
4.05,179,623.181946
-4.65,60,624.787831
-1.5,99,627.168016
9.5,110,629.533123
-2.35,86,632.071209
7.6,105,635.293918
-4.7,13,635.616956
5.55,39,636.633617
5.0,49,637.693698
14.65,181,642.001681
4.95,47,643.333858
6.4,43,644.690375
9.1,123,648.063956
9.7,172,658.736344
-5.6,26,659.283467
4.1,13,659.645638
-6.0,9,659.857651
-3.4,103,661.91382
10.5,179,784.196968
-6.05,12,784.493531
-5.45,32,785.135158
-6.25,29,785.663692
-4.8,87,787.160194
6.25,99,788.904834
4.95,47,789.740129
4.0,235,794.054991
10.05,155,797.100808
-2.55,58,798.353706
-3.9,69,799.783221
4.1,22,800.195961
-4.75,60,801.416618
-6.15,57,802.700883
5.55,85,804.556406
7.4,358,811.675707
7.5,74,813.297769
5.75,79,815.360762
5.5,68,817.054919
-0.9,141,819.583403
0.4,145,822.245564
