#{"t_start": 1743656966.8357308, "env_id": "None"}
r,l,t
4.25,116,2.466737
-5.65,77,3.135052
-6.05,43,3.515069
5.8,82,4.227025
-4.2,76,4.849808
-5.9,43,5.185692
-7.4,8,5.2507
4.0,38,5.553686
-5.95,42,5.909669
-7.15,17,6.044669
-1.0,101,6.878491
-3.55,96,7.672573
4.1,13,7.785583
-7.05,59,8.254891
-5.55,58,8.753211
-1.9,120,9.837672
-1.05,182,11.426923
-4.85,51,11.910078
-6.35,43,12.323789
-6.35,50,12.771589
-6.35,88,13.612543
-3.15,89,14.452852
-5.9,43,14.810477
-4.05,87,15.530201
-7.25,14,15.643196
-6.7,36,15.9401
-6.15,58,16.462434
-5.1,65,17.012887
3.35,12,17.122886
-4.75,66,17.667611
5.05,96,18.452261
-6.05,37,18.773986
5.6,67,117.012857
-1.8,151,119.463911
-3.75,45,120.172299
-4.15,79,121.347071
9.3,166,131.645378
9.35,146,133.906319
-6.15,38,134.509198
-4.5,41,135.172282
4.1,13,135.361657
5.55,36,135.910977
5.25,81,137.109699
10.15,195,140.349852
-5.65,24,140.902693
-2.0,115,143.309114
-2.9,131,145.856809
-4.9,101,147.492049
-0.65,182,150.431664
-5.5,30,150.898609
-1.05,124,153.234598
4.25,41,154.067146
-2.75,114,156.034389
-5.35,61,157.238459
-3.0,93,158.816231
-2.55,111,271.904992
7.7,113,273.970721
-3.5,6,274.074829
-4.25,45,274.869694
-3.05,67,275.945292
-4.5,69,277.043495
-5.8,52,277.811542
11.0,128,279.883016
-2.45,90,281.283417
-2.7,107,282.944237
-2.25,147,290.71495
4.95,49,291.40233
-4.95,53,292.262184
-3.7,102,293.754583
-3.95,30,294.18044
-1.0,139,296.255137
10.8,149,298.432288
0.05,160,300.828041
4.55,31,301.324916
4.05,11,301.490052
4.3,21,301.800834
-4.95,50,302.59336
-0.4,157,305.155719
-5.75,24,305.545917
-4.2,75,306.747709
-0.2,139,434.501491
-2.55,67,436.6522
-6.05,8,436.952283
5.05,44,438.387159
-0.35,168,442.271319
9.45,137,445.078997
4.95,47,446.123232
4.5,29,446.660591
-3.25,120,448.847985
-4.15,78,450.509842
10.0,144,453.463119
-2.55,58,454.575976
7.2,88,456.615438
-4.0,63,457.962394
-4.85,77,459.511835
4.8,14,459.762825
-6.45,21,460.133781
-4.95,45,460.94524
2.2,158,471.699646
6.4,92,473.552399
4.45,27,474.07186
-1.85,134,476.408473
-2.1,76,477.791492
-1.55,118,479.951539
-4.5,15,480.236723
9.25,149,483.072133
4.15,15,607.112171
-2.75,109,609.920988
4.7,37,610.991919
6.55,98,613.007782
5.5,35,613.666165
7.7,92,615.43229
8.75,136,618.614403
-3.6,86,620.64246
-5.0,60,622.195029
-5.35,21,622.691013
-5.2,42,623.617902
-2.55,58,625.200173
4.25,19,625.6922
-1.6,130,628.624901
-3.1,65,630.040108
-4.35,63,631.935213
8.05,60,634.08938
10.2,174,638.352073
-2.15,116,641.110445
9.25,182,645.981043
14.6,231,658.58284
9.7,105,660.752549
-5.05,48,661.726436
-2.8,67,663.244786
3.7,26,782.198854
-3.5,6,782.320348
5.65,77,783.957938
-5.2,47,785.010511
4.25,40,785.754913
-2.6,96,787.408343
7.85,123,789.601043
4.85,221,793.528075
7.0,143,796.305539
-3.95,37,797.118838
6.05,64,798.476832
4.8,216,802.991954
-6.2,33,803.694838
5.7,67,805.1314
-4.75,34,805.7273
-3.95,94,807.611542
-4.95,53,808.672978
4.8,72,810.155699
-2.3,96,812.08959
6.15,39,813.005107
5.7,75,814.791202
5.1,99,817.310908
5.35,59,818.377136
-4.4,67,819.564825
-3.45,89,821.164814
-5.6,26,821.665935
