#{"t_start": 1743656967.0037265, "env_id": "None"}
r,l,t
-7.35,10,1.447758
-6.45,22,1.629755
-6.05,9,1.700752
-6.95,26,1.906764
-4.7,35,2.172757
-2.55,120,3.194066
-2.4,151,4.49702
5.55,100,5.309699
-5.25,70,5.884673
-6.45,18,6.031667
-7.15,15,6.146665
-6.95,26,6.360657
-5.95,42,6.718709
-6.4,24,6.922592
6.95,126,7.951574
-4.55,64,8.483838
-2.75,113,9.504741
-2.35,146,10.77432
-6.4,24,10.979186
-7.25,13,11.089896
-5.1,43,11.498271
3.65,48,11.973383
3.9,58,12.49198
-5.8,24,12.718467
-4.95,58,13.264054
-6.15,34,13.613995
5.55,65,14.194859
-6.8,22,14.411895
7.4,106,15.288012
4.05,11,15.374205
-4.25,77,16.016878
-6.2,56,16.50977
-5.95,42,16.873894
-7.4,8,16.947894
-6.05,38,17.27721
-6.75,34,17.538614
-4.4,47,17.927772
2.9,18,18.074997
4.7,57,18.558625
-6.05,9,18.629964
7.1,85,117.126725
-7.2,19,117.382716
-6.0,57,118.361234
3.1,26,118.836223
5.5,80,120.104154
-4.05,54,120.924665
-7.3,11,121.079875
5.25,98,122.674941
2.75,12,122.932792
-7.2,16,123.217211
5.75,47,131.477382
-6.2,32,131.960367
-3.1,125,133.912721
7.25,119,135.769983
-1.25,136,137.754737
6.35,125,139.863868
-2.4,111,142.295259
5.35,78,143.924932
-3.0,115,146.064808
-3.4,55,146.904784
6.95,97,148.510793
5.3,55,149.387967
-3.75,41,150.030652
-6.2,55,150.944119
3.65,24,151.38219
3.55,194,155.050416
-6.5,20,155.382409
-7.35,10,155.542406
11.25,217,270.677251
-4.4,67,271.719007
-3.1,65,272.860422
4.15,15,273.161869
4.65,35,273.820724
-4.3,26,274.304712
8.55,101,275.953098
-2.3,123,277.821729
11.6,188,280.851429
-3.35,81,282.073473
-1.9,102,283.660368
4.15,15,283.90957
10.65,158,291.807199
-5.5,30,292.278185
4.5,29,292.717611
8.95,142,294.757977
-5.05,48,295.4942
-1.95,135,297.483287
-5.65,28,297.899473
-3.55,124,299.702302
-2.4,133,301.74913
-0.05,194,304.908727
-6.0,11,305.076724
7.95,76,306.319208
-1.25,102,432.719009
-2.55,58,434.462039
-2.85,70,436.733689
10.55,153,440.881756
6.0,83,442.641263
-1.15,103,444.717167
-4.65,63,446.056768
1.65,263,451.349325
-4.95,45,452.199116
5.35,63,453.387652
5.8,54,454.422849
-0.3,161,458.09164
4.65,35,458.734675
-2.15,75,460.131353
-3.45,77,461.586179
-2.8,97,471.167943
4.25,19,471.513541
-2.95,62,472.812769
5.85,56,473.873868
-4.25,71,475.034399
6.1,38,475.740075
-3.55,73,477.090311
4.6,13,477.333693
4.05,11,477.513084
4.25,19,477.902889
-2.7,107,479.81354
6.25,99,481.71124
-4.6,10,481.892436
-2.4,78,607.154171
-5.0,30,607.910624
-3.25,124,611.244896
-4.15,99,613.202068
-3.9,59,614.300329
-3.9,38,615.055171
5.8,32,615.727315
5.4,30,616.462825
10.7,207,621.368176
5.8,81,623.3129
4.8,41,624.441841
11.65,190,628.880869
-2.85,75,630.657101
-3.05,52,632.30769
-4.8,58,634.429371
-4.5,71,636.151627
4.05,11,636.427619
7.6,112,638.977589
-3.1,116,641.750192
2.65,181,646.749238
6.0,63,648.586298
3.0,258,660.973545
-5.7,22,661.416325
-3.35,82,663.239788
0.75,173,785.326393
-3.6,50,786.179474
0.0,132,788.475512
7.6,258,792.971108
-3.8,76,794.608878
15.45,279,800.257802
1.1,215,804.865932
-3.45,59,805.931994
-4.75,54,807.02942
4.45,27,807.577822
-4.1,74,809.070976
-5.85,46,810.024834
-5.1,26,810.567434
-5.5,59,811.738768
4.05,11,811.962629
3.65,33,812.756796
7.8,134,816.205316
8.85,342,822.536069
