#{"t_start": 1743656967.0927181, "env_id": "None"}
r,l,t
-6.45,22,1.465779
-4.65,94,2.210752
-7.4,8,2.294907
0.7,158,3.671047
-6.3,28,3.90505
-5.75,50,4.295029
-7.05,22,4.493551
-7.4,8,4.559198
-3.4,83,5.221696
-5.4,40,5.554684
-6.45,21,5.721682
-5.35,50,6.126679
-6.75,9,6.198669
2.55,168,7.600584
-6.95,26,7.807576
-6.95,26,8.014901
-6.2,32,8.282961
-5.35,30,8.545023
-5.7,39,8.921054
-4.5,65,9.494386
2.9,18,9.64794
4.9,39,9.994665
-6.8,32,10.263045
5.3,90,11.039532
-7.05,22,11.254209
-6.4,24,11.471754
-5.2,65,12.102953
-7.35,9,12.179951
-6.55,17,12.331939
8.45,137,13.643003
-6.55,27,13.876996
-6.1,36,14.224865
-2.8,70,14.825353
-5.3,44,15.176145
-2.55,119,16.186746
-4.85,50,16.607232
-6.0,40,16.962404
-5.45,62,17.465623
-4.9,55,17.920999
-6.35,26,18.131275
-6.1,36,18.446633
-5.35,42,18.785261
-3.9,73,117.280728
-5.0,80,118.683229
9.9,145,120.933204
-5.0,73,122.028719
-5.95,16,122.32134
-6.4,46,123.228221
-5.85,45,131.448449
-5.85,49,132.148368
-5.75,21,132.500358
-6.7,11,132.671354
-5.7,52,133.506335
-4.85,55,134.402194
-7.0,24,134.767185
2.15,183,137.456854
8.1,73,138.545033
-5.85,46,139.352012
6.95,121,142.001355
-5.35,17,142.342242
-6.5,18,142.731225
-5.4,63,144.016931
4.65,46,144.94191
-4.15,47,145.764816
-3.0,89,147.192063
2.75,12,147.372057
-6.8,32,147.916812
-3.65,67,149.015785
-6.2,35,149.549459
-3.45,99,151.205199
-5.05,88,152.850613
-5.85,46,153.792156
-6.5,42,154.572436
-4.65,59,155.556408
-0.2,135,158.036872
-1.45,120,271.269019
5.35,243,275.500686
-6.45,21,275.850105
8.15,110,277.528487
-5.7,23,277.876733
5.45,67,278.992041
-6.15,34,279.531027
3.75,217,282.899794
3.35,12,283.082014
-4.35,42,283.737554
-4.9,49,284.57426
-5.95,13,284.787422
-6.0,29,290.626953
5.5,63,291.566573
3.8,30,292.053198
4.15,15,292.277192
-4.3,71,293.308643
5.65,69,294.300749
8.15,78,295.486206
-0.55,117,297.203302
-5.85,20,297.501637
-5.85,38,298.051307
8.3,136,300.044306
4.35,23,300.402694
-4.0,44,301.110069
-1.75,84,302.427342
-3.8,82,303.774049
5.95,107,305.485626
10.75,161,433.044012
-5.95,11,433.344005
-3.45,57,435.0627
-5.9,18,435.691172
6.1,80,438.342427
-2.65,54,439.821102
6.7,111,442.109087
2.35,199,446.225584
7.3,88,447.811222
-4.55,40,448.544999
0.2,134,451.518261
-3.25,113,453.644682
-1.6,116,456.201144
-3.3,56,457.42109
-3.65,73,458.885096
-5.6,10,459.085426
8.3,111,461.100764
-5.25,40,462.024439
-3.35,61,470.805129
-5.4,34,471.441644
-4.9,54,472.590389
14.85,220,476.532051
4.7,221,480.542754
4.15,15,480.875164
7.2,67,482.147742
-2.0,88,607.803635
-5.4,14,608.148623
4.05,11,608.474029
-4.35,74,610.558916
0.15,150,613.563173
3.6,176,617.397175
10.4,153,620.965649
-3.6,54,622.374028
7.2,51,623.478898
-3.4,79,625.612602
-4.45,16,626.002506
-0.6,120,628.696766
5.65,250,635.762642
-6.0,19,636.293627
10.55,130,639.237618
6.05,56,640.644029
-5.85,16,641.003452
-1.75,138,644.816373
0.7,113,647.944968
-5.45,33,648.784205
-3.75,101,651.070152
5.25,10,651.296271
10.05,159,661.366315
0.75,140,782.892941
-3.0,82,784.636668
7.5,87,786.184795
-5.35,36,786.784122
4.35,52,787.711397
2.05,237,791.8072
-3.5,81,793.438974
-3.6,109,795.552624
7.65,98,797.536614
-1.7,91,799.504653
7.4,148,802.594965
-4.95,81,804.371584
4.7,46,805.227294
1.4,208,809.414894
5.5,20,809.811364
-3.0,88,811.576303
4.8,70,813.097756
-5.05,25,813.689523
4.6,35,814.613216
-3.6,50,816.058328
-3.1,99,818.021011
2.0,139,820.482341
