#{"t_start": 1743656967.0207229, "env_id": "None"}
r,l,t
-7.35,9,1.422774
-5.15,50,1.832754
-4.95,40,2.131747
-5.9,12,2.234746
-3.8,68,2.835061
-6.55,41,3.161069
5.4,62,3.743042
-6.55,17,3.893034
-4.7,36,4.178046
3.9,34,4.443106
-6.85,30,4.706822
-5.95,42,5.034812
-6.4,24,5.223704
-2.95,102,6.059822
-2.95,95,6.855598
-6.45,22,7.037599
4.9,52,7.461752
6.2,80,8.11091
2.9,18,8.25739
-5.1,76,8.95905
-4.7,50,9.379748
-2.7,113,10.3775
-3.9,100,11.265928
-7.05,22,11.463269
-3.65,60,12.042385
8.5,116,13.118429
6.55,80,13.883117
3.85,56,14.403901
-5.45,62,14.93235
3.95,36,15.209137
-7.0,23,15.393205
-6.65,37,15.698112
10.85,129,16.817227
-6.65,14,16.947894
-5.8,46,17.337211
-6.7,10,17.415208
-5.65,71,17.992994
-5.95,42,18.341271
-6.15,50,18.757965
3.95,14,18.873259
-5.55,26,116.751739
-3.8,104,118.364236
-4.15,60,119.401239
-5.1,34,119.921468
8.15,81,121.133892
-6.35,25,121.516089
-5.4,64,122.582998
-3.6,94,131.70565
-6.5,19,131.971366
-1.25,113,133.744327
-4.85,59,134.707186
-0.65,189,137.489692
7.5,97,138.957022
4.65,13,139.196013
7.8,109,141.55325
-3.1,57,142.763223
6.25,88,144.56192
-3.15,55,145.572822
-5.35,30,146.091808
-5.55,22,146.42091
6.75,78,147.686815
12.65,258,151.970176
-3.8,46,152.866614
2.55,140,155.461411
-4.8,81,156.97057
-6.2,31,157.591873
-5.15,37,158.167859
4.25,48,270.321258
-5.0,51,271.066243
9.25,150,273.708728
4.05,11,273.916724
-5.75,20,274.287715
9.55,176,277.101501
8.1,129,279.147047
2.95,143,281.37342
5.45,12,281.552411
7.1,127,283.524375
4.05,11,283.689308
-5.75,49,284.527354
-5.55,28,290.371963
-5.4,35,290.900951
-6.1,10,291.035342
-3.85,119,292.87061
4.05,11,293.026605
1.25,183,295.7232
-2.1,133,297.677408
-5.0,44,298.314123
-5.4,31,298.788127
6.0,83,299.983303
-3.85,90,301.397058
4.4,25,301.769133
4.45,27,302.19253
-4.75,54,303.114873
2.7,192,306.214213
-4.55,49,306.953305
0.55,148,435.313106
0.65,124,439.367018
4.05,11,439.610013
-1.85,108,441.89607
-4.8,80,443.590712
-4.2,27,444.173364
0.6,133,446.796005
5.1,18,447.094985
8.8,96,448.897986
5.8,39,449.751118
5.3,61,451.153289
5.2,221,455.607629
-1.55,133,458.521692
-5.3,38,459.252326
-3.05,73,460.553214
-3.85,12,460.77634
4.35,45,461.678699
-5.25,68,470.656362
-3.2,86,472.366155
6.55,76,473.873873
-2.75,85,475.299019
-5.7,22,475.702078
13.8,154,478.579128
7.5,79,479.974517
-4.8,36,480.59575
12.6,193,608.465663
4.9,19,608.967813
-7.1,18,609.405801
4.1,250,614.807177
-1.95,102,617.170886
4.3,21,617.63823
5.8,75,619.374599
5.0,256,625.706599
-0.15,151,629.128134
-2.2,87,631.361238
-4.1,60,633.530884
-5.0,79,635.629945
5.25,227,641.028451
-4.1,55,642.321671
-3.85,90,645.028671
-6.0,10,645.281312
-3.95,90,647.827426
8.25,110,650.44087
-5.3,91,659.121469
16.5,202,781.884399
10.85,169,785.447814
0.45,100,787.170207
12.95,152,789.86349
9.15,125,791.934192
6.75,71,793.357055
1.4,149,796.269899
-5.7,22,796.750683
4.95,69,798.223056
11.25,153,801.326098
-6.05,62,802.733822
5.85,28,803.310081
-4.15,87,805.147394
4.6,38,805.815716
11.6,158,809.013082
4.2,17,809.397097
6.45,51,810.403613
-5.2,42,811.30349
6.9,105,813.550188
4.1,191,818.060668
-4.85,29,818.579375
5.1,47,819.393839
-2.0,80,820.835355
-7.25,17,821.140136
3.55,20,821.541966
