#{"t_start": 1743656966.8917315, "env_id": "None"}
r,l,t
-5.8,72,2.06074
-5.75,38,2.353734
4.05,34,2.667065
-6.3,28,2.901054
-6.35,25,3.11005
-5.9,15,3.227049
3.55,44,3.656039
-6.2,32,3.922036
4.15,14,4.044045
-5.2,72,4.621017
-5.7,52,5.045703
-3.6,77,5.666682
5.2,49,6.070665
-6.25,54,6.504653
5.75,97,7.314578
-6.0,64,7.848572
-3.05,101,8.690102
-3.5,110,9.686372
4.1,53,10.14902
2.75,14,10.273484
3.75,37,10.582674
3.55,44,10.967592
-4.1,38,11.308304
-5.65,55,11.826019
-5.7,50,12.30394
-4.1,84,13.083149
-5.8,72,13.783985
-7.3,12,13.892791
-7.0,23,14.085985
-6.4,24,14.305851
3.4,14,14.45728
-2.1,128,15.507195
-5.45,27,15.723438
5.2,51,16.159874
-5.1,41,16.535429
-3.4,82,17.240386
-3.35,111,18.148992
-5.95,42,18.505733
5.0,67,19.065768
-4.75,83,117.730709
-6.55,21,118.066489
-1.85,136,120.384583
-4.65,30,120.831602
4.05,11,121.00692
-7.3,11,121.163872
7.15,45,121.830865
5.7,47,122.611298
6.95,83,131.589377
-5.45,62,132.521348
-6.7,10,132.685344
4.0,38,133.285329
5.4,38,133.885316
-6.55,16,134.130588
-4.3,73,135.290657
-1.8,56,136.115971
-6.2,31,136.580709
-6.75,10,136.74882
-0.55,160,139.117111
-5.45,64,140.462016
-1.55,116,142.952208
-6.0,33,143.642933
-5.45,32,144.274921
5.9,107,146.251798
0.9,169,148.957779
-5.4,57,149.873443
-2.05,148,152.429695
-6.25,29,153.013605
7.55,105,155.023416
4.1,42,155.718398
7.25,98,157.616865
4.85,61,158.594236
8.75,151,272.358134
-5.65,24,272.78112
6.1,58,273.883719
-5.4,34,274.513709
-4.9,55,275.415679
-5.9,44,276.115093
-5.75,20,276.426589
5.4,58,277.322487
4.2,17,277.571479
-3.75,45,278.264188
10.9,143,280.57544
-6.8,35,281.106432
-4.45,37,281.668404
-5.85,49,282.417618
-1.85,71,283.524274
-6.15,37,284.128562
0.3,107,291.207328
4.8,21,291.507633
4.05,11,291.696604
-1.3,93,293.125596
-4.95,42,293.726581
-6.05,8,293.83858
7.45,106,295.412524
5.75,37,295.967412
-2.9,58,296.816539
-5.95,11,296.976987
-5.05,48,297.681623
10.55,153,299.916327
6.5,278,304.326518
-2.3,117,306.251745
8.6,144,433.690985
5.6,66,435.631968
-4.15,29,436.750227
-4.75,11,437.138538
-3.05,74,439.426006
4.7,37,440.316985
-3.15,88,442.085191
-3.35,60,443.345059
-4.4,43,444.281657
6.65,73,445.788223
4.15,15,446.081228
6.7,82,447.559577
-1.7,141,450.383774
-1.6,146,453.389122
-4.2,76,454.892763
7.9,116,457.558075
3.25,163,460.653267
-3.15,89,462.593093
13.4,180,473.615869
12.45,208,477.350709
-4.35,45,478.227637
6.1,38,478.906576
8.0,92,480.521072
7.35,88,482.234202
-4.7,11,482.412731
1.55,211,611.40795
7.2,103,613.431169
-4.2,47,614.275039
9.15,173,618.214411
2.75,159,622.011026
-5.1,44,623.057392
-1.75,108,625.790272
-4.95,81,627.650289
4.35,23,628.125883
8.95,102,630.549638
8.85,78,633.00667
-2.5,87,635.553905
-5.4,34,636.468613
-4.35,75,638.174069
5.25,10,638.409064
-3.2,67,640.02793
5.55,22,640.530912
-3.7,67,642.097441
-2.4,121,645.584303
-4.95,52,646.93711
6.55,69,648.898196
-4.8,10,649.125303
-6.0,10,649.383186
-0.15,118,658.761333
13.3,280,783.170916
8.8,99,785.229895
-1.45,124,787.397605
3.35,12,787.604132
7.1,112,789.616901
-5.65,24,790.033732
-2.0,115,791.94993
3.8,30,792.439367
5.9,94,794.438894
7.6,62,795.591804
7.05,77,797.155691
5.8,25,797.64573
-5.9,14,797.949066
3.0,22,798.470207
-4.4,81,800.143931
-2.4,47,800.98697
3.6,22,801.513568
-3.35,112,804.000654
4.2,17,804.367086
10.75,140,807.084425
11.55,168,810.4952
-0.7,109,812.827598
-5.05,53,813.984507
4.85,43,815.119442
1.45,232,819.897109
-5.55,27,820.385591
-6.2,34,821.007772
5.25,10,821.176911
