#{"t_start": 1743786249.0916173, "env_id": "None"}
r,l,t
3.4,80,8.664782
-1.28,379,21.924915
-2.39,133,27.422506
-2.51,189,35.787446
-2.79,21,36.801223
4.09,300,51.797168
3.03,45,54.272238
3.01,19,55.332578
-2.76,86,59.908757
3.52,171,68.60145
-2.52,161,77.2973
3.7,271,90.94493
3.18,71,95.448902
-2.7,39,98.163651
3.06,21,99.798401
3.05,76,256.282614
5.1,539,324.333953
-2.79,53,329.644605
-2.92,16,331.330232
3.92,143,347.140184
2.87,23,349.623601
-3.18,21,351.798285
-3.03,5,352.591174
3.07,33,356.764725
3.07,14,358.367543
-2.18,219,381.899377
-2.64,21,384.21642
3.24,66,390.969839
4.6,393,407.375784
3.03,25,408.230116
-2.79,117,412.188944
-3.0,11,412.566425
3.15,19,413.270677
-2.99,48,414.761837
-1.83,237,423.319212
-3.09,13,423.862221
-2.99,22,578.219476
-2.38,178,597.423375
3.72,233,621.807231
4.51,314,652.772252
3.75,168,668.128443
-2.82,91,677.782527
3.08,16,679.218544
3.09,37,682.91254
-2.65,66,689.190004
3.14,179,706.834564
3.02,147,720.36708
-2.99,2,720.650649
-2.98,4,721.030633
3.07,22,723.0892
3.17,131,736.621558
-3.0,11,737.733508
4.65,373,773.907234
-3.1,8,931.136211
3.09,74,938.480691
3.72,299,970.749678
3.5,204,994.985496
3.5,138,1008.819587
-2.99,2,1008.988702
-1.64,308,1052.923521
5.24,652,1115.721736
-2.36,155,1121.282146
