#{"t_start": 1743728301.174884, "env_id": "None"}
r,l,t
-2.95,49,16.42209
-2.91,37,17.847987
-3.01,28,18.890396
3.09,45,20.69196
-2.73,101,24.560998
3.17,31,25.718395
3.16,32,26.866087
-3.01,9,27.208229
-2.09,327,39.349685
-2.6,136,45.112581
3.08,16,45.726277
5.28,633,70.084311
-2.35,150,75.816357
3.49,95,79.462518
3.06,12,79.956528
2.98,63,82.351428
-1.0,460,216.335562
-3.18,40,219.642801
-2.97,92,226.520967
4.61,467,258.062216
3.01,59,262.31599
2.95,9,262.974056
-3.01,17,264.019609
-3.16,44,266.696587
-2.84,86,272.432957
3.04,8,273.032276
3.19,8,273.54529
3.02,4,273.849262
-2.17,192,286.052124
3.1,39,288.687132
-2.59,238,302.773722
-2.99,2,302.868385
3.16,49,304.732749
-2.71,74,307.545399
5.08,615,436.708861
-1.98,368,465.672704
3.35,97,472.101196
3.44,194,484.75073
-2.96,114,492.11108
-1.05,576,523.920357
3.06,31,525.105459
3.06,50,526.987525
4.27,305,538.90478
-2.97,6,539.131211
-2.72,75,541.991059
2.93,5,542.195801
5.0,428,684.008929
-3.12,25,685.611433
2.96,11,686.667087
-2.76,125,695.029485
-3.04,72,699.762319
3.03,6,700.251381
3.03,6,700.705315
2.9,37,703.042308
2.93,25,704.627548
3.02,4,704.967198
3.08,5,705.342549
-3.02,15,706.225555
3.17,23,707.868669
3.04,85,713.502633
-2.99,2,713.632111
-3.08,60,717.568422
3.23,84,723.710308
-2.53,132,733.672865
2.73,23,735.102895
3.3,87,741.128805
5.29,542,765.16759
3.02,23,766.003179
