#{"t_start": 1743728313.041813, "env_id": "None"}
r,l,t
5.81,731,30.337145
-2.81,46,32.460515
4.86,478,51.08033
-2.19,159,57.020287
-2.69,128,61.972351
5.47,485,81.071192
-3.12,33,192.374692
-2.31,365,219.574989
4.49,492,252.709088
3.1,9,253.290225
3.34,154,263.309769
3.02,51,266.602312
3.83,245,282.883411
-2.93,91,288.595747
-3.21,8,288.90452
5.63,946,438.14526
4.15,458,469.845527
-3.0,49,472.990814
3.51,80,478.138441
-2.7,138,487.179749
4.56,504,513.339983
-2.99,32,514.537724
-3.2,47,516.282892
-2.74,98,520.008821
-2.1,225,528.975777
-3.06,342,663.184957
3.09,115,671.617733
3.03,6,672.082144
3.34,222,687.059354
-2.7,177,698.905048
3.14,74,703.865603
-2.68,178,717.019527
3.43,144,726.852733
2.87,12,727.710063
-3.03,5,727.997422
3.52,238,741.112914
