#{"t_start": 1743786246.4296317, "env_id": "None"}
r,l,t
-2.93,52,10.344122
-2.22,240,18.755895
4.36,325,31.352684
-2.97,6,31.573679
0.26,615,61.815065
3.0,10,62.399573
3.29,76,66.147074
-1.78,299,81.9543
-1.95,281,96.625945
-2.26,132,106.151762
3.08,16,257.795663
-2.7,117,271.716175
3.18,36,276.410073
-2.98,15,278.598393
3.14,73,289.509803
-2.39,155,309.283721
3.29,36,313.888942
-1.05,497,369.340903
3.07,14,370.98709
-1.63,377,402.252614
-2.7,68,404.494585
-2.99,2,404.561582
-2.98,4,404.706578
3.84,215,411.817686
-2.99,31,412.860845
-2.89,30,413.929746
3.41,193,420.426299
-2.48,124,424.981166
3.4,109,586.059382
2.88,23,588.490448
3.32,90,598.368991
-2.8,51,603.69437
2.81,19,605.492921
-2.91,16,607.068973
-2.19,279,635.497045
-3.06,18,637.164909
-2.97,15,638.637681
3.12,101,648.842593
3.03,6,649.656501
-3.21,26,652.15532
2.96,21,654.163353
-3.2,39,658.117237
3.0,28,660.663566
-2.92,35,663.741642
-3.04,22,665.724517
3.42,131,678.940613
-1.35,392,716.52539
-2.98,59,721.955063
3.02,31,725.216198
3.07,14,726.386174
3.23,35,729.670984
2.84,24,731.808007
-3.02,26,734.401269
4.12,220,757.236618
3.56,130,769.763986
-2.45,168,951.279427
2.89,15,952.785657
3.19,148,968.066168
2.93,61,975.409155
-2.91,65,983.586693
-2.97,6,984.309487
3.1,29,987.791909
-0.93,539,1055.257909
3.09,112,1071.124641
2.87,31,1075.052615
3.13,102,1085.668945
-2.49,186,1102.519103
3.14,64,1108.6562
3.46,118,1116.886362
-3.09,21,1117.635982
-3.28,38,1119.066216
3.04,8,1119.365627
