#{"t_start": 1743730802.5393586, "env_id": "None"}
r,l,t
-3.06,7,14.824492
-3.1,10,15.254592
2.75,7,15.580266
2.91,9,16.001669
2.68,12,16.513356
-2.27,220,25.504382
2.93,5,25.768281
2.84,25,26.778218
-3.18,13,27.322168
2.88,14,27.976148
2.78,13,28.503971
2.76,9,28.907974
-3.29,10,29.326697
-3.03,5,29.529749
2.55,7,29.814947
2.75,7,30.100889
3.55,242,40.180338
-2.67,132,45.235211
-3.01,44,46.942654
-3.03,51,48.916493
-3.05,74,51.785393
2.84,6,52.025833
-3.2,9,52.373903
-3.12,6,52.614454
2.73,11,53.087573
2.67,10,53.470592
-3.1,10,53.857231
-2.65,146,59.820054
2.76,9,60.223336
2.84,6,60.450318
2.84,6,60.714297
-3.14,10,61.158406
2.66,8,61.517224
-3.21,15,62.105405
2.85,8,62.456293
2.75,15,63.117302
2.61,8,63.488262
-3.27,14,64.099289
-2.89,49,66.283685
2.86,10,66.747149
2.75,7,67.067267
-2.64,137,72.744201
-2.6,175,80.098849
2.85,8,80.482658
2.84,6,80.754762
-3.38,11,81.217981
2.69,14,81.868553
2.84,6,82.134956
2.75,7,82.450258
-2.98,4,82.606588
2.75,7,82.926548
2.75,7,83.242172
2.75,7,83.515428
-2.95,48,85.515713
-3.03,70,88.42737
2.66,8,88.7963
-3.13,4,88.966949
2.93,5,89.20061
2.95,9,89.600425
2.84,6,89.831532
-2.99,2,89.902333
2.76,9,90.320188
2.73,11,90.803478
-3.16,17,91.545461
-3.02,34,93.015674
-3.05,66,95.800335
2.75,7,96.138135
-3.03,5,96.336589
2.84,6,96.597394
-3.15,9,96.951584
