#{"t_start": 1743730808.6031363, "env_id": "None"}
r,l,t
2.99,6,8.734478
2.84,6,9.009625
-3.12,6,9.245153
2.77,11,9.745847
-3.13,4,9.925135
2.69,14,10.564314
2.93,5,10.750301
2.76,9,11.139453
-2.9,77,14.245883
-3.11,8,14.54605
-3.12,6,14.766215
2.84,6,15.010123
3.02,4,15.166037
-2.81,76,18.211508
2.85,8,18.583516
2.93,5,18.780297
-2.75,77,22.133423
2.58,11,22.600883
-2.84,127,27.906684
2.93,5,28.121974
2.59,13,28.681194
2.93,5,28.883278
-3.03,5,29.091405
2.84,6,29.353527
2.85,8,29.684336
-3.13,4,29.830341
-3.13,4,29.990343
2.66,8,30.359723
-3.27,14,30.937485
3.02,4,31.146999
-3.03,5,31.356993
2.74,25,32.414099
3.03,6,32.63886
-3.03,5,32.822543
-3.04,11,33.265936
2.74,13,33.810506
2.59,13,34.343188
2.85,8,34.655949
2.75,7,34.93562
2.76,9,35.314141
-3.12,14,35.846096
-2.79,96,39.447457
-3.12,6,39.702603
2.84,6,39.94173
-3.37,22,40.758499
2.75,7,41.055774
2.84,6,41.282654
2.85,8,41.617305
2.81,19,42.314471
2.85,8,42.610787
2.75,7,42.899292
2.97,52,44.871922
2.75,7,45.138803
2.84,6,45.383673
-2.89,60,47.793454
-3.2,9,48.158348
-3.21,7,48.442275
2.67,10,48.881468
-2.77,55,51.034908
-2.99,2,51.111185
2.84,6,51.342513
-3.13,33,52.672874
2.75,7,53.023367
2.75,7,53.354406
2.84,6,53.572577
-3.13,4,53.756276
-2.28,190,62.045994
2.84,6,62.297467
-3.29,10,62.704694
2.85,8,63.059316
-3.13,4,63.237161
-3.05,85,66.730466
-3.27,22,67.679693
-2.33,178,75.203728
-3.3,8,75.533722
-3.13,4,75.739122
-3.11,8,76.106271
-2.91,56,78.476882
2.84,6,78.766638
2.85,8,79.084264
2.86,10,79.503627
2.94,7,79.794704
-2.91,76,82.979644
-2.98,42,84.800746
2.93,5,85.048812
-3.39,9,85.439664
2.84,6,85.693378
-3.07,5,85.886032
-3.29,10,86.350018
-3.03,5,86.563258
-3.16,6,86.818685
-3.06,7,87.144726
-3.29,10,87.578547
2.76,9,87.953642
2.84,6,88.192905
2.92,11,88.663037
2.86,10,89.091661
2.77,11,89.555474
3.02,4,89.710858
2.87,40,91.428546
2.93,5,91.662133
-3.21,7,91.947501
2.75,7,92.26608
2.76,9,92.669548
2.84,6,92.948484
2.84,6,93.217536
-3.12,6,93.45153
