#{"t_start": 1743728315.4290326, "env_id": "None"}
r,l,t
2.96,11,0.750552
-2.92,43,2.360835
5.19,561,23.454474
3.11,41,24.995405
-3.01,9,25.326396
-3.03,90,28.922449
3.08,5,29.250502
-2.8,48,31.344976
-2.62,177,38.189338
2.95,67,40.83218
3.05,48,42.666479
5.88,784,73.126026
4.61,341,202.253012
3.18,6,202.820098
3.71,128,212.509069
2.86,50,216.004465
-2.11,281,234.859321
3.43,167,246.329007
-2.61,144,255.699965
3.05,10,256.472912
3.74,386,282.135885
3.3,175,290.246886
-1.96,232,299.114424
3.69,155,305.160989
3.24,75,308.012965
3.18,114,413.478072
3.03,25,415.385494
2.81,40,418.299386
3.02,32,420.382371
-2.8,108,430.473884
3.32,61,435.176891
3.39,113,443.923526
-2.64,144,453.736396
2.82,40,456.504494
3.5,198,469.408603
-2.83,73,474.066085
3.69,242,490.263131
2.88,14,491.192446
3.36,99,497.416081
3.11,41,499.904093
3.48,180,507.465337
3.09,65,509.96483
4.0,472,528.202768
3.71,304,661.187935
-3.02,45,664.409
